OriginTime,Latitude,Longitude,Depth,Magnitude,Nstn,OTAVG,LatAVG,LonAVG,DepAVG,LatE,LonE,DepE,Np10,Np50,Ns50,Np100,PGap100,SGap100
2019-10-27 06:37:26.86,35.4138,128.4877,14.1500,3.4000,97,2019-10-27 06:37:26.794100162,35.4154,128.4862,13.3128,0.6538,0.5791,3.2666,1,20,19,75,18.3683,24.6235
2019-12-12 11:29:55.83,33.5348,126.9392,21.9800,2.1000,12,2019-12-12 11:29:55.867766636,33.5326,126.9388,21.2929,2.3305,3.0165,3.4929,1,5,3,11,104.1509,179.7285
2019-12-29 15:32:08.38,35.5545,128.9045,19.4700,3.5000,94,2019-12-29 15:32:08.409490803,35.5539,128.9040,18.3484,0.5427,0.7046,2.7099,2,32,32,75,22.4812,34.4284
2019-12-29 16:44:02.58,35.5545,128.9067,19.2200,2.1000,68,2019-12-29 16:44:02.596366767,35.5546,128.9062,18.3413,0.5907,0.7481,2.5022,2,31,29,59,22.4672,34.7571
2020-01-07 21:03:01.07,35.9050,128.3822,16.1800,2.0000,47,2020-01-07 21:03:01.008832518,35.9040,128.3828,15.6488,0.6864,0.7178,2.8419,1,15,15,48,29.7269,32.6391
2020-01-15 13:46:11.79,37.1115,128.2843,9.0700,2.1000,112,2020-01-15 13:46:11.609845886,37.1114,128.2836,10.1832,0.4889,0.6416,3.6382,1,21,19,73,20.2964,27.8587
2020-01-29 15:52:52.62,36.5875,128.1077,20.0000,3.2000,131,2020-01-29 15:52:52.621641598,36.5867,128.1076,19.3404,0.4721,0.6084,2.9055,1,17,17,76,13.6358,19.5213
2020-02-09 05:41:26.31,35.7717,129.0362,9.6400,2.4000,87,2020-02-09 05:41:26.178716241,35.7714,129.0340,10.3058,0.4992,0.8202,2.6967,1,33,31,68,14.0689,28.0303
2020-03-20 07:02:45.83,35.3892,128.0110,9.0800,2.7000,115,2020-03-20 07:02:45.615616421,35.3910,128.0116,10.5988,0.5489,0.5606,3.6390,1,17,17,69,22.7637,29.0670
2020-04-27 02:07:10.18,35.8028,127.5315,6.2500,2.8000,97,2020-04-27 02:07:10.079601166,35.8038,127.5316,7.6930,0.5211,0.6236,3.5206,1,17,16,67,15.7538,23.0786
2020-04-28 03:06:53.63,36.1547,127.4350,9.8900,2.4000,113,2020-04-28 03:06:53.462093081,36.1551,127.4357,10.7221,0.5030,0.6349,3.4312,1,20,20,70,14.6906,17.6546
2020-04-28 03:52:02.05,34.6575,126.4018,21.6300,2.1000,54,2020-04-28 03:52:02.072718313,34.6584,126.4022,21.0306,0.7947,1.0705,2.6053,1,13,13,40,36.6172,44.5177
2020-04-29 22:13:13.87,34.6580,126.4022,21.5900,2.4000,54,2020-04-29 22:13:13.903240340,34.6586,126.4031,20.8333,0.7749,1.1040,2.6146,1,13,13,41,36.6943,44.6145
2020-05-01 17:57:03.03,34.6582,126.4018,21.6800,2.3000,54,2020-05-01 17:57:03.061692439,34.6587,126.4015,20.9790,0.7639,1.1077,2.6132,1,13,13,41,36.7229,44.6412
2020-05-03 13:07:14.68,34.6578,126.4027,21.8200,3.1000,55,2020-05-03 13:07:14.717511877,34.6589,126.4040,21.0731,0.7766,1.0460,2.6267,1,13,13,41,36.6646,44.5899
2020-05-08 16:57:40.05,34.6588,126.4030,21.6400,2.2000,52,2020-05-08 16:57:40.055968754,34.6590,126.4044,21.0868,0.7868,1.0988,2.5142,1,13,13,41,36.8204,44.7788
2020-05-27 10:23:29.06,36.0107,128.0090,5.1400,2.8000,138,2020-05-27 10:23:28.959428671,36.0108,128.0100,7.5569,0.4990,0.6100,3.8198,1,18,17,69,15.0204,24.8719
2020-06-07 15:52:10.62,36.0093,128.0072,5.3700,2.1000,82,2020-06-07 15:52:10.529442012,36.0096,128.0084,7.0299,0.5181,0.6096,3.4635,1,17,17,59,18.4459,29.1474
2020-06-23 10:58:05.60,37.8587,126.9032,6.0900,2.1000,69,2020-06-23 10:58:05.558684486,37.8572,126.9059,7.1821,0.9875,1.1067,3.0642,1,19,16,46,81.7785,103.5789
2020-07-03 04:59:31.84,37.1788,128.7148,7.6200,2.3000,74,2020-07-03 04:59:31.704397738,37.1783,128.7125,9.2074,0.6229,0.7519,3.3870,1,20,20,56,19.2104,34.9004
2020-09-12 04:31:06.13,36.0285,128.4003,14.8800,2.4000,116,2020-09-12 04:31:06.040396996,36.0283,128.4004,14.6153,0.5328,0.5979,3.1625,1,17,17,79,15.2730,20.7479
2020-09-19 16:22:14.58,36.5097,127.1352,16.6500,2.2000,99,2020-09-19 16:22:14.554076089,36.5085,127.1358,16.1676,0.5454,0.6856,2.7603,1,18,18,62,19.7606,29.2290
2020-09-22 11:08:54.49,36.5962,129.3763,15.4500,2.1000,72,2020-09-22 11:08:54.495968837,36.5963,129.3699,14.3057,0.5906,1.9139,3.2125,1,14,14,44,143.2424,157.5702
2020-10-08 19:38:14.89,35.7452,129.1747,16.7400,2.1000,82,2020-10-08 19:38:14.875973241,35.7446,129.1719,16.3250,0.5647,0.9634,2.2252,5,33,28,61,21.3855,41.3656
2020-11-06 09:27:23.78,36.4363,128.1410,8.6800,2.0000,104,2020-11-06 09:27:23.589451373,36.4356,128.1407,10.1179,0.5071,0.7259,3.4287,1,17,17,66,16.5969,26.1915
2020-11-08 06:26:09.62,36.4108,128.2220,7.6300,2.9000,136,2020-11-08 06:26:09.418700502,36.4111,128.2228,9.7142,0.5220,0.6316,3.7126,1,16,16,72,13.8065,25.2419
2020-11-14 15:00:29.74,35.7575,129.1873,16.9000,2.1000,82,2020-11-14 15:00:29.730925421,35.7573,129.1851,16.4296,0.5645,1.0497,2.1055,5,33,30,62,33.1023,42.8432
2020-12-23 12:28:20.41,37.7340,126.7408,11.1000,2.2000,72,2020-12-23 12:28:20.369975059,37.7318,126.7453,10.9394,0.7690,1.1630,3.2046,1,20,20,48,80.4929,98.6477
2021-02-05 19:40:03.93,35.8028,127.5310,6.2800,2.7000,112,2021-02-05 19:40:03.804281315,35.8022,127.5307,8.0416,0.5254,0.6089,3.7447,1,17,17,69,14.1050,22.4161
2021-02-15 09:59:26.05,35.9912,126.8333,13.7000,2.5000,89,2021-02-15 09:59:25.954602312,35.9910,126.8346,13.5776,0.5176,0.8609,3.0330,1,17,17,59,22.2509,39.8389
2021-03-15 17:51:53.20,35.7615,129.1917,17.2400,2.6000,89,2021-03-15 17:51:53.208806894,35.7609,129.1878,16.6894,0.5363,1.0689,2.1952,6,32,32,65,36.1672,41.3529
2021-04-13 12:56:15.66,36.0225,126.9045,12.7200,2.0000,90,2021-04-13 12:56:15.551726435,36.0223,126.9063,12.9302,0.5260,0.8376,2.8342,1,17,16,61,23.2445,36.5923
2021-04-15 16:43:23.69,37.2950,127.7062,10.8700,2.2000,122,2021-04-15 16:43:23.531035754,37.2958,127.7066,11.6780,0.5168,0.5997,3.4108,1,22,22,78,15.0191,26.2901
2021-05-12 21:04:29.23,35.8947,127.3350,8.0200,2.0000,104,2021-05-12 21:04:29.063152364,35.8952,127.3359,9.4917,0.4971,0.6279,3.5605,1,17,17,68,16.1700,22.3641
2021-08-27 22:03:23.17,34.9987,127.7278,15.1700,2.2000,81,2021-08-27 22:03:23.098232005,35.0010,127.7274,14.8040,0.6938,0.6677,3.0293,2,15,15,53,35.8443,44.1175
2021-08-29 04:03:23.84,35.3032,128.4885,6.7600,2.2000,82,2021-08-29 04:03:23.702393645,35.3052,128.4886,8.6053,0.6016,0.6332,3.4972,1,18,18,58,22.0162,36.4547
2021-09-11 17:04:46.30,35.5313,128.5302,14.9300,2.1000,106,2021-09-11 17:04:46.209647188,35.5305,128.5304,14.6989,0.5323,0.5406,3.1036,1,18,18,79,18.1674,19.3227
2021-09-13 18:36:01.55,35.4062,128.7775,17.1600,2.2000,79,2021-09-13 18:36:01.539529827,35.4068,128.7799,16.1526,0.7273,0.7307,2.9884,1,24,23,60,24.5706,46.0764
2021-09-16 20:30:13.32,36.7147,126.1085,8.4900,2.2000,39,2021-09-16 20:30:13.249873874,36.7161,126.1129,8.9112,1.0309,1.6892,2.8895,1,7,7,26,100.9040,169.7313
2021-09-23 03:02:43.42,35.4142,128.4875,14.0900,2.6000,97,2021-09-23 03:02:43.292571158,35.4138,128.4886,13.8677,1.1284,1.0655,3.2509,1,20,20,75,18.3629,24.6447
2021-10-21 21:51:48.89,36.9045,128.2188,13.7500,2.4000,97,2021-10-21 21:51:48.777445007,36.9043,128.2181,13.6855,0.5057,0.5741,3.0525,1,16,16,72,17.9976,25.7959
2021-11-11 16:31:06.03,36.1450,129.3970,6.8700,2.1000,75,2021-11-11 16:31:05.918245580,36.1466,129.3914,8.4088,0.5423,1.4233,3.0162,4,25,23,58,115.0258,156.9750
2021-12-15 13:02:15.13,35.7903,127.8068,8.1400,2.3000,120,2021-12-15 13:02:14.955903225,35.7892,127.8076,9.8410,0.5001,0.6266,3.6172,1,17,17,69,16.9572,21.9333
2022-02-02 03:04:56.06,35.7207,128.9872,19.2800,2.4000,89,2022-02-02 03:04:56.091012478,35.7196,128.9868,18.3291,0.4958,0.7771,2.3810,2,30,29,70,21.2785,29.7087
2022-02-10 08:20:35.16,35.2875,126.5888,18.5900,2.2000,69,2022-02-10 08:20:35.160201355,35.2880,126.5901,17.8657,0.6070,0.9458,2.6641,1,14,14,51,48.0081,68.3003
2022-03-05 13:16:21.48,36.3838,127.1327,13.6200,2.4000,98,2022-03-05 13:16:21.380792724,36.3836,127.1326,13.4552,0.5343,0.6693,3.2105,1,18,18,61,18.6512,28.6562
2022-04-03 05:19:19.43,35.6933,129.3693,9.2800,2.0000,58,2022-04-03 05:19:19.365379337,35.6939,129.3644,9.8143,0.6186,1.3866,2.7381,3,28,27,47,98.7403,119.6686
2022-04-15 17:08:34.56,34.7462,127.2585,19.3800,2.6000,73,2022-04-15 17:08:34.586050557,34.7472,127.2592,18.4243,0.7236,0.7652,2.8260,1,14,14,52,32.5559,48.8055
2022-04-17 14:33:29.84,35.2218,128.6030,6.6100,2.3000,86,2022-04-17 14:33:29.697915735,35.2240,128.6025,8.5769,0.7872,0.6319,3.5227,1,18,18,61,38.5349,48.2301
2022-04-18 05:22:38.45,37.2480,126.1045,9.4800,2.3000,49,2022-04-18 05:22:38.326659652,37.2465,126.1090,10.0970,0.7658,1.9384,3.1157,1,4,4,30,103.7100,141.4549
2022-07-20 07:19:50.31,36.2903,126.8660,16.3300,2.0000,67,2022-07-20 07:19:50.255199087,36.2904,126.8664,16.0246,0.5875,0.8356,2.6666,1,16,16,51,30.4940,40.2432
2022-07-20 19:46:57.92,35.7893,129.1993,14.6000,2.3000,83,2022-07-20 19:46:57.848779072,35.7874,129.1960,14.5472,0.5044,1.0158,2.3938,4,31,31,62,36.8280,46.6369
2022-07-21 09:38:09.72,36.7965,126.2407,8.8100,2.3000,57,2022-07-21 09:38:09.638165211,36.7967,126.2466,9.3904,0.8690,1.5500,2.9248,1,9,9,33,93.7999,132.1655
2022-07-28 20:36:56.24,35.3903,128.2428,13.9300,2.6000,107,2022-07-28 20:36:56.115996075,35.3911,128.2421,13.7614,0.5164,0.6197,3.4132,1,17,17,72,19.7476,26.3724
2022-10-28 23:27:33.42,36.8773,127.8800,14.0600,3.5000,122,2022-10-28 23:27:33.319703889,36.8771,127.8795,13.5768,0.4907,0.6647,3.5794,1,16,16,70,21.0625,33.3770
2022-10-28 23:27:50.20,36.8763,127.8823,13.4100,4.1000,53,2022-10-28 23:27:50.107933310,36.8758,127.8829,13.1140,0.5436,0.7619,3.2897,1,15,15,54,23.1727,35.4342
2022-10-28 23:29:09.91,36.8807,127.8683,13.2900,2.2000,43,2022-10-28 23:29:09.855586355,36.8817,127.8670,12.5847,0.7481,0.8673,3.3770,1,14,13,40,37.3433,43.0594
2022-10-28 23:29:18.76,36.8785,127.8838,13.0900,2.9000,23,2022-10-28 23:29:18.692854766,36.8790,127.8835,12.5827,0.7801,1.1294,3.2161,1,15,14,23,37.3985,57.8063
2022-10-31 17:27:52.77,36.8787,127.8792,13.7700,2.9000,121,2022-10-31 17:27:52.674366504,36.8788,127.8791,13.3993,0.4955,0.6643,3.5731,1,16,16,70,21.0418,33.4321
2022-11-05 04:21:22.66,36.9712,126.3815,7.2400,2.5000,56,2022-11-05 04:21:22.484569075,36.9706,126.3860,9.4216,0.7033,1.5322,3.6256,1,9,9,37,105.9309,107.7584
2022-12-01 06:17:58.68,36.1668,128.2730,15.9700,3.2000,115,2022-12-01 06:17:58.630776382,36.1669,128.2727,15.0716,0.5079,0.6069,3.3262,1,18,18,73,19.8976,24.9165
2022-12-25 10:31:08.30,36.5063,128.6433,13.9600,2.6000,104,2022-12-25 10:31:08.202907719,36.5055,128.6430,12.7938,0.5037,0.6047,3.8372,1,16,16,72,15.7341,28.1313
